question,RII2000,RII2001,RIII&RIV2002,RR2006,RR2007,RR2008,RR2009,RR2012,RR2014,RR2018,conflict
請問您目前與受訪者配偶__人同住,,D04Z03/您目前與已婚女兒__人同住,C04Z03/請問你目前與已婚女兒__人同住,,b04b03/請問您目前與受訪者配偶__人同住,,,,,,V
請問您目前與未婚兒子__人同住,,D04Z04/您目前與未婚兒子__人同住,C04Z04/請問你目前與未婚兒子__人同住,,b04b08/請問您目前與未婚兒子__人同住,,,,,,
請問您目前與未婚女兒__人同住,,D04Z05/您目前與未婚女兒__人同住,C04Z05/請問你目前與未婚女兒__人同住,,b04b09/請問您目前與未婚女兒__人同住,,,,,,
請問您目前與孫子女__人同住,,D04Z06/您目前與孫子女__人同住,C04Z06/請問你目前與孫子女__人同住,,b04b30/請問您目前與孫子女__人同住,,,,,,
請問您目前與兒子配偶__人同住,,D04Z07/您目前與子女配偶__人同住,C04Z07/請問你目前與子女配偶__人同住,,b04b10/請問您目前與兒子配偶__人同住,,,,,,
請問您目前與父親__人同住,,D04Z08/您目前與父母__人同住,C04Z08/請問你目前與父母__人同住,,b04b01/請問您目前與父親__人同住,,,,,,
請問您目前與配偶父親__人同住,,D04Z09/您目前與配偶父母__人同住,C04Z09/請問你目前與配偶父母__人同住,,b04b04/請問您目前與配偶父親__人同住,,,,,,
請問您目前與其他親屬__人同住,,D04Z10/您目前與其他親屬__人同住,C04Z10/請問你目前與其他親屬__人同住,,b04b32/請問您目前與其他親屬__人同住,,,,,,
請問您目前與非親屬__人同住,,D04Z11/您目前與非親屬__人同住,C04Z11/請問你目前與非親屬__人同住,,b04b33/請問您目前與非親屬__人同住,,,,,,
請問您去年一年有沒有搬家?,,D05/請問您去年一年有沒有搬家?,C05/請問您去年一年有沒有搬家?,B06/請問您去年一年有沒有搬遷(搬住的地方)?,b06/請問您去年一年有沒有搬遷(搬住的地方)?,b06/請問您去年一年有沒有搬遷(搬住的地方)?,,,,,
您搬家的主要原因是什麼?,,D06/您搬家的主要原因是什麼?,C06/您搬家的主要原因是什麼?,B07/您搬遷的主要原因是什麼?,b07/您搬遷的主要原因是什麼?,b07/您搬遷的主要原因是什麼?,b07/您搬遷的主要原因是什麼?,b07/您搬遷的主要原因是什麼,b05/您搬遷的主要原因是什麼?,b02/您搬遷的主要原因是什麼?,
租金每月多少?__元,,D07B/租金每月多少?__元,,,b08b/住宅狀況:租金每月多少?__元,b08b/租金每月多少?__元,b08b/住宅狀況:租金每月多少?__元,,b06b/租金每月多少?__元,,
房屋建坪多大?__坪,,D07C01/房屋建坪多大?__坪,,B08C01/房屋建坪多大__坪,b08c01/住宅狀況:房屋建坪多大?__坪,b08c01/房屋建坪多大?__坪,b08c01/住宅狀況:房屋建坪多大?__坪,,b06d01/房屋建坪多大?房屋__坪,,
庭院__坪,,D07C02/庭院__坪,,,,b08c02/庭院__坪,,,,,
房間數:__廳,,D07D02/房間數:__廳,,,,,,b08e02/房間數多少 __廳,,,
您現在住的住宅有無房屋貸款?,,D07E/有無房屋貸款?,,B08E/有無房屋貸款?,b08e/住宅狀況:您現在住的住宅有無房屋貸款?,b08e/您現在住的住宅有無房屋貸款?,b08e/您現在住的住宅有無房屋貸款?,b08c/您現在住的住宅有無房屋貸款,b06c/您現在住的住宅有無房屋貸款?,b03c/您現在住的住宅有無房屋貸款?,
住宅的型式是?,,D07G/住宅的型式是?,,B08G/住宅的型式是?,b08g/住宅狀況:住宅的型式是?,b08g/住宅的型式是?,b08g/住宅的型式是?,b08g/住宅的型式是,b06g/住宅的型式是?,b03g/住宅的型式是?,
住宅在第幾層樓?住在第__樓,,D07H/住宅在第幾層樓?住在第__樓,C08H/住宅在第幾層樓?住在第__樓,,,b08h/住宅在第幾層樓?住在第__樓,,,b06h/住宅在第幾層樓?住在第__樓,b03h/住宅在第幾層樓?住在第__樓,V
住宅在第幾層樓?住在第__樓,,D07H/住宅在第幾層樓?住在第__樓,,B08F/居住約幾個月?,b08f/住宅狀況:居住約幾個月?__月,b08f/居住約幾個月?,b08f/居住約幾個月?,b08h/住宅在第幾層樓,b06h/住宅在第幾層樓?住在第__樓,b03h/住宅在第幾層樓?住在第__樓,V
請問您現在的住宅有沒有做其他用途?,,D08/請問您現在的住宅有沒有做其他用途?,C09/請問您現在的住宅有沒有做其他用途?,B10/請問您現在的住宅有沒有做其他用途?,b10/請問您現在的住宅有沒有做其他用途?,b10/請問您現在的住宅有沒有做其他用途?,,b10/請問您現在的住宅有沒有做其他用途,b08/請問您現在的住宅有沒有做其他用途?,,
請問您有沒有打算在兩年之內搬家?,,D09/請問您有沒有打算在兩年之內搬家?,C11/請問您有沒有打算在兩年之內搬家?,B11/請問您有沒有打算在兩年之內搬遷?,b11/請問您有沒有打算在兩年之內搬遷?,b11/請問您有沒有打算在兩年之內搬遷?,b11/請問您有沒有打算在兩年之內搬遷?,b11/請問您有沒有打算在兩年之內搬遷,b10/請問您有沒有打算在兩年之內搬遷?,b06/請問您有沒有打算在兩年之內搬遷?,
請問您父親目前的健康情形如何?,,D10A/請問您父親目前的健康情形如何?,C12A/請問您父親目前的健康情形如何?,B12A/請問您父親目前的健康情形如何?,b14a/請問您父親目前的健康情形如何?,b14a/請問您父親目前的健康情形如何?,b14a/請問您父親目前的健康情形如何?,,b20af1/請問您父親目前的健康狀況?,b14af1/請問您父親目前的健康狀況?,
請問您母親目前的健康情形如何?,,D10B/請問您母親目前的健康情形如何?,C12B/請問您母親目前的健康情形如何?,B12B/請問您母親目前的健康情形如何?,b14b/請問您母親目前的健康情形如何?,b14b/請問您母親目前的健康情形如何?,,,b20am1/請問您母親目前的健康狀況?,b14am1/請問您母親目前的健康狀況?,V
請問您配偶父親目前的健康情形如何?,,D10C/請問您配偶父親目前的健康情形如何?,C12C/請問您配偶父親目前的健康情形如何?,B12C/請問您配偶父親目前的健康情形如何?,b14d/請問您配偶父親目前的健康情形如何?,b18b/請問您配偶父親目前的健康情形如何?,,,b23bf2/請問您配偶父親目前的健康狀況?,b19af2/請問您配偶父親目前的健康狀況?,
請問您配偶母親目前的健康情形如何?,,D10D/請問您配偶母親目前的健康情形如何?,C12D/請問您配偶母親目前的健康情形如何?,B12D/請問您配偶母親目前的健康情形如何?,b14e/請問您配偶母親目前的健康情形如何?,b18c/請問您配偶母親目前的健康情形如何?,,,b23bm2/請問您配偶母親目前的健康狀況?,b19am2/請問您配偶母親目前的健康狀況?,
子女2:排行,,D11AC2/子女2:排行,C13AC2/(子女2)排行,,,,,,,,
子女3:排行,,D11AC3/子女3:排行,C13AC3/(子女3)排行,,,,,,,,
子女4:排行,,D11AC4/子女4:排行,C13AC4/(子女4)排行,B13AC4/子女4:排行,,,,,,,
(子女1)去年到現在有否搬家,,D11BC1/子女1:去年到現在有否搬家,C13BC1/(子女1)去年到現在有否搬家,B13GC1/子女1:去年到現在有否改變住處?,,,,,,,
子女2:去年到現在有否搬家,,D11BC2/子女2:去年到現在有否搬家,C13BC2/(子女2)去年到現在有否搬家,B13GC2/子女2:去年到現在有否改變住處?,,,,,,,
子女3:去年到現在有否搬家,,D11BC3/子女3:去年到現在有否搬家,C13BC3/(子女3)去年到現在有否搬家,B13GC3/子女3:去年到現在有否改變住處?,,,,,,,
子女4:去年到現在有否搬家,,D11BC4/子女4:去年到現在有否搬家,C13BC4/(子女4)去年到現在有否搬家,B13GC4/子女4:去年到現在有否改變住處?,,,,,,,
父親去年到現在有否改變住處?,,D11BP1/父母:去年到現在有否搬家,C13BP1/(父母)去年到現在有否搬家,B13GF1/父親去年到現在有否改變住處?,,,,,,,
配偶父親去年到現在有否改變住處?,,D11BP2/配偶父母:去年到現在有否搬家,C13BP2/(配偶父母)去年到現在有否搬家,B13GF2/配偶父親去年到現在有否改變住處?,,,,,,,
子女1:住處與您的距離多遠?,,D11CC1/子女1:住處與您的距離多遠?,,B13HC1/子女1:住處與您的距離多遠?,,b13gc1/子女1住處與您的距離多遠?,,,,,
(子女2)住處與您的距離多遠?,,D11CC2/子女2:住處與您的距離多遠?,C13CC2/(子女2)住處與您的距離多遠?,B13HC2/子女2:住處與您的距離多遠?,,,,,,,
子女3:住處與您的距離多遠?,,D11CC3/子女3:住處與您的距離多遠?,C13CC3/(子女3)住處與您的距離多遠?,B13HC3/子女3:住處與您的距離多遠?,,,,,,,
子女3:住處與您的距離多遠?,,D11CC3/子女3:住處與您的距離多遠?,,B13HC4/子女4:住處與您的距離多遠?,,b13gc3/子女3目前住處與您的距離多遠?,,,,,V
子女4:住處與您的距離多遠?,,D11CC4/子女4:住處與您的距離多遠?,,B13HC4/子女4:住處與您的距離多遠?,,b13gc4/子女4目前住處與您的距離多遠?,,,,,V
父親住處與您距離多遠?,,D11CP1/父母:住處與您的距離多遠?,C13CP1/(父母)住處與您的距離多遠?,B13HF1/父親住處與您距離多遠?,,,,,,,
子女1:你們之間去年的聯絡狀況每月打電話次數?不同住者,,D11D01C1/子女1:你們之間去年的聯絡狀況每月打電話次數?不同住者,C13D01C1/若(子女1)不與受訪者同住，你們之間去年的聯絡狀況為每月打電話次數?,B13IC1/子女1:去年與您的聯絡狀況每月打電話次數?,,,,,,,
子女2:你們之間去年的聯絡狀況每月打電話次數?不同住者,,D11D01C2/子女2:你們之間去年的聯絡狀況每月打電話次數?不同住者,C13D01C2/若(子女2)不與受訪者同住，你們之間去年的聯絡狀況為每月打電話次數?,B13IC2/子女2:去年與您的聯絡狀況每月打電話次數?,,,,,,,
子女3:你們之間去年的聯絡狀況每月打電話次數?不同住者,,D11D01C3/子女3:你們之間去年的聯絡狀況每月打電話次數?不同住者,C13D01C3/若(子女3)不與受訪者同住，你們之間去年的聯絡狀況為每月打電話次數?,B13IC3/子女3:去年與您的聯絡狀況每月打電話次數?,,,,,,,
請問您過去一年裡，教育費用__元,,E03D/請問您過去一年裡，教育費用__元,,C09D/請問您(和您配偶)過去一年裡，支出教育費用__元,d09d/請問您(和您配偶)過去一年裡，支出教育費用__元,,c09c/請問您(和您配偶)過去一年裡，教育費用__元,,,,
請問您(和您配偶)過去一年裡，支出醫療費用__元,,E03E/請問您過去一年裡，醫療費用__元,,C09E/請問您(和您配偶)過去一年裡，支出醫療費用__元,d09e/請問您(和您配偶)過去一年裡，支出醫療費用__元,,,,,,
請問你本人目前是否有自己的經常性收入?,,H01A/請問你本人目前是否有自己的經常性收入?,,,e01a/請問您本人目前是否有自己的經常性收入?,,,,,,
請問您的配偶目前是否有(他/她)自己的收入?,,H02A/請問你的配偶目前是否有他(她)自己的收入?,,,e02a/請問您的配偶目前是否有(他/她)自己的收入?,,,,,,
分(訪問結束時間) ;,,H05Z04/分(訪問結束時間) ;,,,,,e06z04/訪問結束時間_分 ;,,,,
請問過去一年來，您的生活過得好不好?,,,A01/請問過去一年來，您的生活過得好不好?,A03/請問過去一年來，您的生活過得好不好?,a03b/請問過去一年來，您的生活過得好不好?(1代表很不好，7代表很好),a03b/請問過去一年來，您的生活過得好不好?(01代表很不好，07代表很好),a03b/請問過去一年來，您的生活過得好不好?(1代表很不好，7代表很好),,a03b/請問過去一年來，您的生活過得好不好?,a03d/請問過去一年來，您的生活過得好不好?,
請問您是否自願離開原來的工作單位?,,,A04A/請問您是否自願離開原來的工作單位?,A10A/請問您是否自願離開原來的工作單位?,a07a/請問您是否自願離開原來的工作單位?,a07a/請問您是否自願離開原來的工作?,a07a/請問您是否自願離開原來的工作?,a07a/請問您是否自願離開原來的工作,,,V
請問您自願離開原來工作單位的原因是什麼?,,,A04B/請問您自願離開原來工作單位的原因是什麼?,A10B/請問您自願離開原來工作單位的原因是什麼?,a07b/請問您自願離開原來工作單位的原因是什麼?,a07b/請問您自願離開原來工作(單位)的原因是什麼?,a07b/請問您自願離開原來工作的原因是什麼?,a07b/請問您自願離開原來工作的主要原因是什麼,,,V
請問您非自願離開原來工作單位的原因是什麼?,,,A04C/請問您非自願離開原來工作單位的原因是什麼?,A10C/請問您非自願離開原來工作單位的原因是什麼?,a07c/請問您非自願離開原來工作單位的原因是什麼?,a07c/請問您非自願離開原來工作(單位)的原因是什麼?,a07c/請問您非自願離開原來工作的原因是什麼?,a07c/請問您非自願離開原來工作的主要原因是什麼,,,V
請問這份兼差是在為誰工作?,,,A11B/請問這份兼差是在為誰工作?,A19B/請問這份兼差是在為誰工作?,a13b/請問這份兼差是在為誰工作?,a13b/請問這份兼差是在為誰工作?,a13b/請問這份兼差是在為誰工作?,a13b/請問這份兼差是在為誰工作,a13b/請問這份兼差是在為誰工作?,a14b/請問這份兼差是在為誰工作?,
這份兼差平均每個月的總收入大約有多少?,,,A11C/這份兼差平均每個月的總收入大約有多少?__元,A19C/這份兼差平均每個月的總收入大約有多少?,a13c/這份兼差平均每個月的總收入大約有多少?,a13c/這份兼差平均每個月的總收入大約有多少?,a13c/這份兼差平均每個月的總收入大約有多少?,a13c/這份兼差平均每個月的總收入大約有多少__元,a13d/這份兼差平均每個月的總收入大約有多少?__元,a14d/這份兼差平均每個月的總收入大約有多少?__元,
請問您(先生/太太)是否自願離開原來的工作單位?,,,A20A/請問您(先生/太太)是否自願離開原來的工作單位?,A10A/請問您是否自願離開原來的工作單位?,a07a/請問您是否自願離開原來的工作單位?,a07a/請問您是否自願離開原來的工作?,a07a/請問您是否自願離開原來的工作?,a07a/請問您是否自願離開原來的工作,,,V
請問您(先生/太太)自願離開原來工作單位的原因是什麼?,,,A20B/請問您(先生/太太)自願離開原來工作單位的原因是什麼?,A10B/請問您自願離開原來工作單位的原因是什麼?,a07b/請問您自願離開原來工作單位的原因是什麼?,a07b/請問您自願離開原來工作(單位)的原因是什麼?,a07b/請問您自願離開原來工作的原因是什麼?,a07b/請問您自願離開原來工作的主要原因是什麼,,,V
請問您(先生/太太)非自願離開原來工作單位的原因是什麼?,,,A20C/請問您(先生/太太)非自願離開原來工作單位的原因是什麼?,A10C/請問您非自願離開原來工作單位的原因是什麼?,a07c/請問您非自願離開原來工作單位的原因是什麼?,a07c/請問您非自願離開原來工作(單位)的原因是什麼?,a07c/請問您非自願離開原來工作的原因是什麼?,a07c/請問您非自願離開原來工作的主要原因是什麼,,,V
您(先生/太太)這份工作的地點是在那裡?,,,A22A01/您(先生/太太)這份工作的地點是在那裡?,,a09b01/您這份工作的工作地點是在那裡?,a09b01/您這份工作的工作地點是在那裡?,,a09b01/您這份工作的工作地點是在那裡,a07c01/您這份工作的工作地點是在那裡?,,
您(先生/太太)工作地點的地區代碼,,,A22A02/您(先生/太太)工作地點的地區代碼,,,a09b02/工作地點地區碼,,,a07c02/您這份工作的工作地點地區碼是?,,
請問您(先生/太太)過去這一個月之內有沒有在找工作?若有，到目前為止已找了__月,,,A27A02/請問您(先生/太太)過去這一個月之內有沒有在找工作?若有，到目前為止已找了__月,,,,,,a15a02/從開始找工作到目前為止已找了多久?__月,,
請問您(先生/太太)過去這一個月之內有沒有在找工作?若有，到目前為止已找了__週,,,A27A03/請問您(先生/太太)過去這一個月之內有沒有在找工作?若有，到目前為止已找了__週,,,,,,a15a03/從開始找工作到目前為止已找了多久?又__週,,
您(先生/太太)最主要用什麼方法找尋工作?,,,A27B/您(先生/太太)最主要用什麼方法找尋工作?,,,,,,a15b/請問過去這一個月，您最主要用什麼方法找尋工作?,,
請問你目前與受訪者配偶__人同住,,,C04Z01/請問你目前與受訪者配偶__人同住,,b04b03/請問您目前與受訪者配偶__人同住,,,,,,V
請問您的父母住安養機構?,,,C14D09/請問您的父母住安養機構?,B14D09/請問您的父親有沒有獨居?,,,,,,,V
請問您的父母與其他人同住?,,,C14D10/請問您的父母與其他人同住?,B14D10/請問您的父親有沒有住安養機構?,,,,,,,V
在去年(97)之中，您的家庭是否曾經從兄弟姊妹得到資助或貸款?,,,C15Z01/在去年之中，您的家庭是否曾經從兄弟姊妹得到資助或貸款?,B17Z01/在去年(94年)之中，您的家庭是否曾經從兄弟姊妹得到資助或貸款?,b17z01/在去年之中，您的家庭是否曾經從兄弟姊妹得到資助或貸款?,b22z01/在去年之中，您的家庭是否曾經從兄弟姊妹得到資助或貸款?,b39z01/在去年(97)之中，您的家庭是否曾經從兄弟姊妹得到資助或貸款?,,,,
在去年(97)之中，您的家庭是否曾經從配偶的兄弟姊妹得到資助或貸款?,,,C15Z02/在去年之中，您的家庭是否曾經從配偶的兄弟姊妹得到資助或貸款?,B17Z02/在去年(94年)之中，您的家庭是否曾經從配偶的兄弟姊妹得到資助或貸款?,b17z02/在去年之中，您的家庭是否曾經從配偶的兄弟姊妹得到資助或貸款?,b22z02/在去年之中，您的家庭是否曾經從配偶的兄弟姊妹得到資助或貸款?,b39z02/在去年(97)之中，您的家庭是否曾經從配偶的兄弟姊妹得到資助或貸款?,,,,
在去年之中，您的家庭是否曾經從其他親戚得到資助或貸款?,,,C15Z03/在去年之中，您的家庭是否曾經從其他親戚得到資助或貸款?,B17Z03/在去年(94年)之中，您的家庭是否曾經從其他親戚得到資助或貸款?,b17z03/在去年之中，您的家庭是否曾經從其他親戚得到資助或貸款?,,b39z03/在去年(97)之中，您的家庭是否曾經從其他親戚得到資助或貸款?,,,,
在去年之中，您的家庭是否曾經從朋友或同事得到資助或貸款?,,,C15Z04/在去年之中，您的家庭是否曾經從朋友或同事得到資助或貸款?,B17Z04/在去年(94年)之中，您的家庭是否曾經從朋友或同事得到資助或貸款?,b17z04/在去年之中，您的家庭是否曾經從朋友或同事得到資助或貸款?,b22z04/在去年之中，您的家庭是否曾經從朋友或同事得到資助或貸款?,b39z04/在去年(97)之中，您的家庭是否曾經從朋友或同事得到資助或貸款?,,,,
請問過去一年來，您與您配偶有沒有接受您配偶父母在一般生活費上的資助?若有，平均每個月大約__元,,,C16A02/請問過去一年來，您與您配偶有沒有接受您配偶父母在一般生活費上的資助?若有，平均每個月大約__元,B15A02/請問過去一年來，您配偶的父母給您(或您配偶)一般生活費上的資助，平均每個月大約__元,b16a02/請問過去一年來，您配偶的父母給您(或您配偶)一般生活費上的資助，平均每個月大約__元,b19a02/請問過去一年來，您配偶的父母有給您(或您配偶)一般生活費上的資助，平均每個月大約__元,,,,,
請問過去一年來，您與您配偶有沒有給您配偶父母零用金，生活費或節慶紅包?若有，平均每個月大約__元,,,C16B02/請問過去一年來，您與您配偶有沒有給您配偶父母零用金，生活費或節慶紅包?若有，平均每個月大約__元,B15B02/請問過去一年來，您(或您配偶)給您配偶父母零用金，生活費或節慶紅包，平均每個月大約__元,b16b02/請問過去一年來，您(或您配偶)給您配偶父母零用金，生活費或節慶紅包平均每個月大約__元,b19b02/請問過去一年來，您(或您配偶)有給您配偶父母零用金、生活費或節慶紅包，平均每個月大約__元,,,,,
請問您配偶的父母與未婚子女同住?,,,C16D04/請問您配偶的父母與未婚子女同住?,B15D04/請問您的配偶父親有沒有與他的未婚兒子同住?,b16d04/請問您配偶的父親平常有沒有與他的未婚兒子同住?,,,,,,
請問您配偶的父母住安養機構?,,,C16D09/請問您配偶的父母住安養機構?,B15D09/請問您的配偶父親有沒有獨居?,b16d09/請問您配偶的父親平常有沒有獨居?,,,,,,V
請問您配偶的父母與其他人同住?,,,C16D10/請問您配偶的父母與其他人同住?,B15D10/請問您的配偶父親有沒有住安養機構?,b16d10/請問您配偶的父親平常有沒有住安養機構?,,,,,,V
在去年之中，如果您有工作的話，全部的工作收入大約有多少(包括正常的收入，加班費，分紅，佣金，三節獎金，年終獎金等)?,,,D03A01/在去年之中，如果您有工作的話，全部的工作收入大約有多少(包括正常的收入，加班費，分紅，佣金，三節獎金，年終獎金等)?,C03A01/在去年(94年)之中，如果您有工作的話，全部的工作收入大約有多少(包括正常的收入，加班費，分紅，佣金，三節獎金，年終獎金等)?,,c03a01/在去年(96年)之中，如果您有工作的話，全部的工作收入大約有多少(包括正常的收入、加班費、分紅、佣金、三節獎金、年終獎金等)?,c03a01/在去年(97年)之中，如果您有工作的話，全部的工作收入大約有多少?,,c03a01/在去年之中，如果您有工作的話，全部的工作收入大約有多少(包括正常的收入、加班費、分紅、佣金、三節獎金、年終獎金及兼差收入等),,
若有工作，在去年(94年)之中，您全部的工作收入(包括正常的收入，加班費，分紅，佣金，三節獎金，年終獎金等)大約__元,,,D03A02/在去年之中，如果您有工作的話，全部的工作收入大約有多少(包括正常的收入，加班費，分紅，佣金，三節獎金，年終獎金等)?若有工作，過去一年的收入大約__元,C03A02/若有工作，在去年(94年)之中，您全部的工作收入(包括正常的收入，加班費，分紅，佣金，三節獎金，年終獎金等)大約__元,d03a02/若有工作，在去年(95年)之中，您全部的工作收入大約__元,c03a02/在去年(96年)之中，如果您有工作的話，過去一年的收入大約__元,c03a02/若您有工作，過去一年的收入大約__元,,c03a02/在去年之中，如果您有工作的話，全部的工作收入大約有多少?_____元?,c04a02/若您過去一年有工作，收入大約__元,
在去年之中，您是否曾經領取退休金?(1999及2000抽樣樣本作答),,,D04A01/在去年之中，您是否曾經領取退休金?,,,,,,c04a01/在去年之中，您是否曾經領取退休金?(1999及2000抽樣樣本作答),,
在去年之中，您是否曾經領取退休金?有，一次領取，總共__元,,,D04A04/在去年之中，您是否曾經領取退休金?有，一次領取，總共__元,C04A04/請問在去年(94年)之中，您一次領清退休金，總共__元,d04a04/在去年(95年)之中，您一次領清退休金，總共__元,c04a04/在去年(96年)之中，您一次領清退休金，總共__元,,,c04a04/您領取退休金的方式?一次領清，總共____元,,
在去年之中，您配偶是否曾經領取退休金?(1999及2000抽樣樣本作答),,,D04B01/在去年之中，您的配偶是否曾經領取退休金?,,,,,,c04b01/在去年之中，您配偶是否曾經領取退休金?(1999及2000抽樣樣本作答),,V
請問在去年(94年)之中，您的配偶按月領取退休金，每月__元,,,D04B02/在去年之中，您的配偶是否曾經領取退休金?有，按月領取，每月__元,C04B02/請問在去年(94年)之中，您的配偶按月領取退休金，每月__元,d04b02/在去年(95年)之中，您的配偶按月領取退休金，每月__元,c04b02/在去年(96年)之中，您的配偶按月領取退休金，每月__元,,,,,V
在去年之中，您的配偶是否曾經領取退休金?有，按年領取，每年__元,,,D04B03/在去年之中，您的配偶是否曾經領取退休金?有，按年領取，每年__元,C04B03/請問在去年(94年)之中，您的配偶按年領取退休金，每年__元,d04b03/在去年(95年)之中，您的配偶按年領取退休金，每年__元,c04b03/在去年(96年)之中，您的配偶按年領取退休金，每年__元,,,c04b03/您配偶領取退休金的方式?按年領取，每年____元,,
請問在去年(94年)之中，您的配偶一次領清退休金，總共__元,,,D04B04/在去年之中，您的配偶是否曾經領取退休金?有，一次領取，總共__元,C04B04/請問在去年(94年)之中，您的配偶一次領清退休金，總共__元,d04b04/在去年(95年)之中，您的配偶一次領清退休金，總共__元,c04b04/在去年(96年)之中，您的配偶一次領清退休金，總共__元,,,,,
請問在去年(94年)之中，您的配偶分數次領取退休金，總共__元,,,D04B05/在去年之中，您的配偶是否曾經領取退休金?有，每年分數次，總共__元,C04B05/請問在去年(94年)之中，您的配偶分數次領取退休金，總共__元,d04b05/在去年(95年)之中，您的配偶分數次領取退休金，總共__元,c04b05/在去年(96年)之中，您的配偶每年分數次退休金，總共__元,,,,,
您或您的配偶若有其他收入來源，去年的收入大約__元,,,D05Z08/您或您的配偶若有其他收入來源，去年的收入大約__元,C05Z08/除了上面所談到的這些收入之外，您或您的配偶去年的其他收入大約__元,d05z08/除了上面所談到的這些收入之外，您或您的配偶去年的其他收入大約__元,,,,,c14z08/若您或您的配偶有其他收入來源，去年的收入大約__元,
在去年(1-12月份)之中，您是否曾經領取政府失業保險金?,,,D06A01/在去年(1-12月份)之中，您是否曾經領取政府失業保險金?,C06A/在94年1月到12月之中，您是否曾經領取政府失業保險金?,,,,,,,
在去年之中，您的家庭是否曾經得到政府的中低收入戶生活補助?,,,D07A01/在去年之中，您的家庭是否曾經得到政府的中低收入戶生活補助?,C07A01/在去年之中，您的家庭是否曾經得到政府的中低收入戶生活補助?,d06a01/在去年之中，您的家庭是否曾經得到政府的中低收入戶生活補助?,c06a01/在去年之中，您的家庭是否曾經得到政府的中低收入戶生活補助,c06a01/在去年之中，您的家庭是否曾經得到政府的中低收入戶生活補助?,,c06a01/在去年之中，您的家庭是否曾經得到政府的中低收入戶生活補助?,c15b01/在去年(106年)之中，您的家庭是否曾經得到政府的中低收入戶生活補助?,
在去年之中，您的家庭是否曾經得到政府的傷病醫療費用補助?,,,D07A02/在去年之中，您的家庭是否曾經得到政府的傷病醫療費用補助?,C07A02/在去年之中，您的家庭是否曾經得到政府的傷病醫療費用補助?,d06a02/在去年之中，您的家庭是否曾經得到政府的傷病醫療費用補助?,c06a02/在去年之中，您的家庭是否曾經得到政府的傷病醫療費用補助,c06a02/在去年之中，您的家庭是否曾經得到政府的傷病醫療費用補助?,,c06a02/在去年之中，您的家庭是否曾經得到政府的傷病醫療費用補助?,,
在去年(106年)之中，您的家庭是否曾經得到政府的教育補助(含五歲幼兒學費補助)?,,,D07A04/在去年之中，您的家庭是否曾經得到政府的教育補助?,C07A03/在去年之中，您的家庭是否曾經得到政府的教育補助?,d06a03/在去年之中，您的家庭是否曾經得到政府的教育補助?,c06a03/在去年之中，您的家庭是否曾經得到政府的教育補助,c06a03/在去年之中，您的家庭是否曾經得到政府的教育補助?,,c06a03/在去年之中，您的家庭是否曾經得到政府的教育補助(含五歲幼兒學費補助)?,c15b03/在去年(106年)之中，您的家庭是否曾經得到政府的教育補助(含五歲幼兒學費補助)?,
在去年之中，您的家庭是否曾經得到政府的兒童托育補助?,,,D07A04/在去年之中，您的家庭是否曾經得到政府的教育補助?,C07A04/在去年之中，您的家庭是否曾經得到政府的兒童托育補助?,d06a04/在去年之中，您的家庭是否曾經得到政府的兒童托育補助?,c06a04/在去年之中，您的家庭是否曾經得到政府的兒童托育補助,c06a04/在去年之中，您的家庭是否曾經得到政府的兒童托育補助?,,c06a04/在去年之中，您的家庭是否曾經得到政府的兒童托育補助?,,V
在去年(106年)之中，您的家庭是否曾經得到政府的兒童托育補助?,,,D07A05/在去年之中，您的家庭是否曾經得到政府的兒童托育補助?,C07A04/在去年之中，您的家庭是否曾經得到政府的兒童托育補助?,d06a04/在去年之中，您的家庭是否曾經得到政府的兒童托育補助?,c06a04/在去年之中，您的家庭是否曾經得到政府的兒童托育補助,c06a04/在去年之中，您的家庭是否曾經得到政府的兒童托育補助?,,c06a04/在去年之中，您的家庭是否曾經得到政府的兒童托育補助?,c15b05/在去年(106年)之中，您的家庭是否曾經得到政府的兒童托育補助?,V
在去年之中，您的家庭是否曾經得到政府的老人津貼補助?,,,D07A06/在去年之中，您的家庭是否曾經得到政府的老人津貼補助?,C07A05/在去年之中，您的家庭是否曾經得到政府的老人津貼?,d06a05/在去年之中，您的家庭是否曾經得到政府的老人津貼(含老農津貼)?,c06a05/在去年之中，您的家庭是否曾經得到政府的老人津貼(含老農津貼),c06a05/在去年之中，您的家庭是否曾經得到政府的老人津貼(含老農津貼)?,,c06a05/在去年之中，您的家庭是否曾經得到政府的老人津貼(含老農津貼)?,,
在去年之中，您的家庭是否曾經得到政府的其他補助?,,,D07A07/在去年之中，您的家庭是否曾經得到政府的其他補助?,C07A08/在去年之中，您的家庭是否曾經得到政府的其他補助?,d06a08/在去年之中，您的家庭是否曾經得到政府的其他補助?,c06a09/在去年之中，您的家庭是否曾經得到政府的其他補助,c06a10/在去年之中，您的家庭是否曾經得到政府的其他補助?,,,,
在過去一年裡，您(和您配偶)房屋貸款支出平均每月__元?,,,D08A/在過去一年裡，您家中每個月的平均支出情況大約是?房屋貸款支出平均每月__元,,d08a/在過去一年裡，您(和您配偶)房屋貸款支出平均每月__元,c08a/在過去一年裡，您(和您配偶)房屋貸款支出平均每月__元,c08a/在過去一年裡，您(和您配偶)房屋貸款支出平均每月__元,,c08a/在過去一年裡，您(和您配偶)房屋貸款支出平均每月__元,c16a/在過去一年裡，您(和您配偶)房屋貸款支出平均每月__元?,
